用户ID,用户姓名,商品ID,商品名称,商品类别,单价,购买时间,购买数量,消费金额,用户城市,用户性别,用户年龄
U7415,葛贵树,P84676,收纳盒,家居,1103.02,2024-09-03 01:19:59,3,3309.06,深圳,男,34
U2705,金元有,P28877,T恤,服装,226.44,2024-03-08 11:03:19,2,452.88,苏州,女,19
U9879,干山义,P38349,笔记本电脑,电子产品,867.74,2024-03-31 18:31:11,3,2603.22,西安,女,57
U1117,孙风光,P80808,时尚杂志,书籍,994.48,2024-07-08 23:14:25,2,1988.96,杭州,女,58
U6332,李功力,P66060,运动鞋,服装,706.74,2024-08-04 06:03:39,3,2120.22,成都,男,56
U2194,明壮,P70566,哑铃,运动,846.44,2024-08-18 17:04:06,3,2539.32,上海,男,26
U4703,汪广弘,P57906,毛绒玩具,玩具,821.58,2024-08-08 20:10:00,3,2464.74,上海,男,21
U6115,萧兴克,P79947,时尚杂志,书籍,421.31,2024-03-15 07:48:26,4,1685.24,广州,男,55
U5919,孔和,P43964,充电宝,电子产品,5968.54,2024-08-07 06:26:56,1,5968.54,苏州,男,19
U7731,林乐和,P21510,笔记本电脑,电子产品,8512.6,2024-09-20 07:21:44,4,34050.4,成都,女,42
U2376,柳文,P91670,桌游,玩具,869.45,2024-03-29 12:35:22,3,2608.35,深圳,女,32
U1492,蒋翰,P11584,运动鞋,服装,230.27,2024-10-12 11:47:09,2,460.54,北京,女,50
U3676,蓝朋健,P10917,桌游,玩具,390.29,2024-04-20 00:52:22,2,780.58,天津,女,33
U3344,柳才,P61271,抱枕,家居,3047.8,2024-01-14 09:28:07,2,6095.6,南京,女,26
U1174,鲁伯邦,P33107,哑铃,运动,87.31,2024-03-26 02:27:48,4,349.24,上海,女,38
U8865,裘刚,P12948,显示器,电子产品,1824.14,2024-09-27 21:47:12,4,7296.56,重庆,女,29
U8214,元成琛,P40347,洗发水,美妆,733.92,2024-12-23 01:38:51,1,733.92,武汉,女,26
U8623,盛树,P13275,夹克,服装,827.8,2024-01-02 22:26:47,5,4139.0,北京,男,47
U4994,郎启世,P55994,智能手机,电子产品,816.95,2024-07-28 03:58:48,1,816.95,深圳,男,30
U9215,卜友坚,P75667,连衣裙,服装,723.57,2024-10-20 10:10:48,5,3617.85,深圳,男,28
U6272,熊志茂,P65162,显示器,电子产品,4972.25,2024-06-08 04:14:12,4,19889.0,深圳,男,19
U7958,卢福言,P42246,乐高积木,玩具,87.63,2024-08-30 22:26:57,1,87.63,苏州,女,19
U9396,雷乐义,P14315,跳绳,运动,664.57,2024-09-19 12:36:24,5,3322.85,杭州,女,27
U5847,高国家,P26345,充电宝,电子产品,8290.24,2024-05-31 02:53:04,2,16580.48,深圳,男,55
U5184,鲍雄轮,P59490,防晒霜,美妆,548.74,2024-10-29 05:05:10,2,1097.48,杭州,男,27
U4920,葛炎山,P18542,粉底液,美妆,35.29,2024-08-12 18:40:46,4,141.16,武汉,男,22
U3285,缪士辉,P14718,收纳盒,家居,2405.69,2024-02-29 17:30:48,3,7217.07,深圳,女,65
U7955,孙学,P90415,台灯,家居,3235.59,2024-12-20 19:53:33,1,3235.59,成都,男,23
U1924,臧辉彪,P77941,T恤,服装,970.96,2024-11-20 17:26:27,3,2912.88,西安,男,48
U2872,冯辰辰,P69547,平板电脑,电子产品,7255.88,2024-03-22 02:25:51,5,36279.4,天津,女,39
U7685,颜友国,P53642,抱枕,家居,3160.38,2024-08-10 12:30:57,3,9481.14,重庆,男,23
U3090,梅昌,P88927,化妆刷套装,美妆,195.88,2024-06-13 11:59:08,5,979.4,杭州,男,64
U6182,丁琛胜,P76677,蓝牙耳机,电子产品,1985.43,2024-01-28 15:18:10,1,1985.43,广州,男,24
U3363,包才,P49170,跳绳,运动,936.21,2024-04-12 12:46:58,1,936.21,天津,女,34
U1291,韦泰建,P94758,连衣裙,服装,136.23,2024-12-25 06:15:44,1,136.23,成都,女,33
U5117,戴健,P83160,台灯,家居,3798.02,2024-12-06 04:41:33,4,15192.08,西安,男,18
